PRN,TIME(SOD),C1,C2,L1,L2,Tgd,IPPx,IPPy,IPPz,LLI_1,LLI_2,Elevation,Azimuth,Lat,Lon
GPS 4,0.0,20295003.458,20295004.555,-4509083.4322,-4504330.89355,-6.053596735e-09,739748.3126, -5908064.8774, 3132948.9829,4,4,72.1612150323,267.952706791,27.7905963125,278.217178764
GPS 7,0.0,21101148.348,21101149.396,-3572353.05894,-3513027.67803,-1.86264514923e-09,914221.7206, -5777746.3728, 3324104.8401,4,4,56.6552466851,20.3077607314,27.7905963125,278.217178764
GPS 9,0.0,23624550.429,23624555.056,-1120063.73738,-1117274.97653,-5.58793544769e-09,75525.4459, -5801834.0541, 3406001.3221,4,4,19.9708163463,293.676684828,27.7905963125,278.217178764
GPS 20,0.0,23552282.445,23552283.211,-1328921.36899,-1245802.45873,-6.98491930962e-09,1412511.9779, -5547819.2533, 3534733.2199,4,4,21.7284013499,51.9946980081,27.7905963125,278.217178764
GPS 24,0.0,22674342.536,22674346.54,-2707428.45963,-2638760.14934,-1.39698386192e-09,424658.7999, -6085541.6752, 2837899.7363,4,4,30.5003993545,234.053103849,27.7905963125,278.217178764
GPS 28,0.0,20836542.716,20836543.201,-4108227.12959,-4104938.84439,-1.02445483208e-08,1013722.0845, -5939555.9856, 2993638.2080,4,4,57.294724863,136.02840627,27.7905963125,278.217178764
GPS 4,30.0,20292838.699,20292840.485,-4511247.60446,-4506495.05931,-6.053596735e-09,740275.0856, -5907263.3212, 3134335.7100,4,4,72.2630608609,268.741899908,27.7905963125,278.217178764
GPS 7,30.0,21100822.148,21100823.894,-3572678.57054,-3513353.18265,-1.86264514923e-09,915742.5117, -5777751.4734, 3323677.3391,4,4,56.646311885,20.7046403103,27.7905963125,278.217178764
GPS 9,30.0,23623486.686,23623491.993,-1121126.90756,-1118338.14057,-5.58793544769e-09,75362.0311, -5803578.3920, 3403031.8692,4,4,20.0004693379,293.447030346,27.7905963125,278.217178764
GPS 20,30.0,23562568.038,23562569.107,-1318634.8683,-1235515.96042,-6.98491930962e-09,1413242.2572, -5545434.8121, 3538181.2500,4,4,21.6174104566,51.8032417372,27.7905963125,278.217178764
GPS 24,30.0,22660419.533,22660420.814,-2721353.79856,-2652685.47873,-1.39698386192e-09,426205.9987, -6083927.1678, 2841127.6202,4,4,30.6800799908,234.239719042,27.7905963125,278.217178764
GPS 28,30.0,20846440.603,20846441.242,-4098329.57489,-4095041.29138,-1.02445483208e-08,1014409.7640, -5940358.5907, 2991812.1826,4,4,57.0730379441,136.284755153,27.7905963125,278.217178764
GPS 4,60.0,20290764.45,20290766.145,-4513321.93394,-4508569.38257,-6.053596735e-09,740804.1970, -5906462.6977, 3135719.2210,4,4,72.3621226368,269.538841095,27.7905963125,278.217178764
GPS 7,60.0,21100514.619,21100516.069,-3572986.4206,-3513661.02867,-1.86264514923e-09,917262.4518, -5777759.8355, 3323243.6517,4,4,56.6369069943,21.1015568687,27.7905963125,278.217178764
GPS 9,60.0,23622525.101,23622527.282,-1122090.96118,-1119302.1914,-5.58793544769e-09,75178.3403, -5805316.0769, 3400070.7280,4,4,20.0291093309,293.217054857,27.7905963125,278.217178764
GPS 20,60.0,23572946.354,23572947.225,-1308256.23483,-1225137.32844,-6.98491930962e-09,1413993.6183, -5543026.5932, 3541652.9650,4,4,21.5055877847,51.6127974096,27.7905963125,278.217178764
GPS 24,60.0,22646554.182,22646558.84,-2735216.60433,-2666548.27786,-1.39698386192e-09,427739.9722, -6082322.9294, 2844330.1125,4,4,30.8594904728,234.427346726,27.7905963125,278.217178764
GPS 28,60.0,20856429.527,20856430.163,-4088340.62614,-4085052.34466,-1.02445483208e-08,1015099.2828, -5941164.1547, 2989978.1644,4,4,56.850965153,136.538122382,27.7905963125,278.217178764
GPS 4,90.0,20288779.685,20288781.336,-4515306.72607,-4510554.17006,-6.053596735e-09,741335.6767, -5905662.9914, 3137099.5422,4,4,72.4583601001,270.34341964,27.7905963125,278.217178764
GPS 7,90.0,21100224.426,21100225.525,-3573276.63177,-3513951.23564,-1.86264514923e-09,918781.5301, -5777771.4562, 3322803.7845,4,4,56.6270301396,21.4985053635,27.7905963125,278.217178764
GPS 9,90.0,23621660.411,23621662.503,-1122956.09864,-1120167.3266,-5.58793544769e-09,74974.4686, -5807047.2663, 3397117.6558,4,4,20.0567363747,292.986766418,27.7905963125,278.217178764
GPS 20,90.0,23583417.314,23583418.047,-1297785.85773,-1214666.94302,-6.98491930962e-09,1414766.2688, -5540594.2241, 3545148.7330,4,4,21.3929393537,51.4233677972,27.7905963125,278.217178764
GPS 24,90.0,22632755.539,22632758.54,-2749016.89996,-2680348.56918,-1.39698386192e-09,429260.9389, -6080728.8345, 2847507.5731,4,4,31.0386274958,234.615990721,27.7905963125,278.217178764
GPS 28,90.0,20866510.01,20866510.102,-4078260.54194,-4074972.26162,-1.02445483208e-08,1015790.6992, -5941972.7057, 2988136.0597,4,4,56.6285163993,136.788554968,27.7905963125,278.217178764
GPS 4,120.0,20286884.459,20286886.017,-4517202.10947,-4512449.54951,-6.053596735e-09,741869.5547, -5904864.1865, 3138476.6995,4,4,72.5517335759,271.155513139,27.7905963125,278.217178764
GPS 7,120.0,21099952.255,21099953.706,-3573549.00462,-3514223.60451,-1.86264514923e-09,920299.7361, -5777786.3325, 3322357.7445,4,4,56.6166794429,21.8954806998,27.7905963125,278.217178764
GPS 9,120.0,23620892.436,23620895.701,-1123722.40422,-1120933.62381,-5.58793544769e-09,74750.5090, -5808772.1158, 3394172.4115,4,4,20.0833505979,292.756173098,27.7905963125,278.217178764
GPS 20,120.0,23593977.564,23593982.144,-1287224.00114,-1204105.08842,-6.98491930962e-09,1415560.4198, -5538137.3258, 3548668.9265,4,4,21.2794711983,51.2349555623,27.7905963125,278.217178764
GPS 24,120.0,22619016.677,22619020.614,-2762754.455,-2694086.12021,-1.39698386192e-09,430769.1137, -6079144.7589, 2850660.3554,4,4,31.2174877395,234.805654867,27.7905963125,278.217178764
GPS 28,120.0,20876680.814,20876681.135,-4068089.37957,-4064801.09867,-1.02445483208e-08,1016484.0720, -5942784.2719, 2986285.7732,4,4,56.4057014052,137.036098958,27.7905963125,278.217178764
GPS 4,150.0,20285078.154,20285080.208,-4519008.00746,-4514255.44253,-6.053596735e-09,742405.8606, -5904066.2679, 3139850.7184,4,4,72.6422040549,271.974987295,27.7905963125,278.217178764
GPS 7,150.0,21099697.729,21099699.529,-3573803.14753,-3514477.74358,-1.86264514923e-09,921817.0592, -5777804.4613, 3321905.5385,4,4,56.605853022,22.2924777303,27.7905963125,278.217178764
GPS 9,150.0,23620224.869,23620229.135,-1124389.78278,-1121600.99635,-5.58793544769e-09,74506.5519, -5810490.7793, 3391234.7557,4,4,20.1089522078,292.525282978,27.7905963125,278.217178764
GPS 20,150.0,23604632.885,23604632.67,-1276570.70882,-1193451.79003,-6.98491930962e-09,1416376.2860, -5535655.5126, 3552213.9227,4,4,21.1651893675,51.0475632593,27.7905963125,278.217178764
GPS 24,150.0,22605344.023,22605346.427,-2776428.86641,-2707760.52825,-1.39698386192e-09,432264.7085, -6077570.5802, 2853788.8070,4,4,31.3960678672,234.996343018,27.7905963125,278.217178764
GPS 28,150.0,20886943.097,20886944.003,-4057827.05226,-4054538.77156,-1.02445483208e-08,1017179.4606, -5943598.8823, 2984427.2084,4,4,56.18252971,137.280799452,27.7905963125,278.217178764
GPS 4,180.0,20283361.336,20283363.207,-4520724.92984,-4515972.35828,-6.053596735e-09,742944.6245, -5903269.2201, 3141221.6239,4,4,72.7297332756,272.801695747,27.7905963125,278.217178764
GPS 7,180.0,21099461.526,21099463.373,-3574039.23899,-3514713.83087,-1.86264514923e-09,923333.4892, -5777825.8397, 3321447.1732,4,4,56.5945489912,22.689491256,27.7905963125,278.217178764
GPS 9,180.0,23619657.814,23619658.253,-1124958.68074,-1122169.88502,-5.58793544769e-09,74242.6854, -5812203.4088, 3388304.4506,4,4,20.1335414912,292.294104148,27.7905963125,278.217178764
GPS 20,180.0,23615377.091,23615377.504,-1265826.57201,-1182707.6518,-6.98491930962e-09,1417214.0857, -5533148.3924, 3555784.1039,4,4,21.0500999234,50.8611933354,27.7905963125,278.217178764
GPS 24,180.0,22591731.373,22591734.87,-2790040.29652,-2721371.95154,-1.39698386192e-09,433747.9320, -6076006.1774, 2856893.2696,4,4,31.5743645264,235.188059046,27.7905963125,278.217178764
GPS 28,180.0,20897296.395,20897296.991,-4047474.00967,-4044185.73036,-1.02445483208e-08,1017876.9250, -5944416.5658, 2982560.2674,4,4,55.9590106749,137.522700622,27.7905963125,278.217178764
