PRN,TIME(SOD),C1,C2,L1,L2,Tgd,IPPx,IPPy,IPPz,LLI_1,LLI_2,Elevation,Azimuth,Lat,Lon
GPS 4,0.0,20560584.229,20560580.229,-3880060.19215,-3878079.49531,-6.053596735e-09,632330.4278, -5097472.9331, 4345544.3177,4,4,64.6110199422,225.490646484,41.2249411746,278.385109745
GPS 7,0.0,20551106.06,20551102.005,-3845785.64861,-3844289.71984,-1.86264514923e-09,799621.3959, -4936802.6257, 4500712.4935,4,4,71.8484891988,38.4535398737,41.2249411746,278.385109745
GPS 9,0.0,23203728.127,23203724.523,-1110584.97548,-1109124.40791,-5.58793544769e-09,63255.9251, -4963424.3059, 4541832.8171,4,4,24.7482085392,284.73887238,41.2249411746,278.385109745
GPS 20,0.0,22818609.428,22818604.472,-1864165.29604,-1862853.61522,-6.98491930962e-09,1193971.3136, -4740128.9722, 4623141.4990,4,4,30.2341772636,60.9622360978,41.2249411746,278.385109745
GPS 24,0.0,23576846.842,23576844.668,-959487.731747,-957783.591001,-1.39698386192e-09,215620.2235, -5416554.8782, 3985256.4110,4,4,20.6953162983,226.104828816,41.2249411746,278.385109745
GPS 28,0.0,21618181.596,21618176.759,-3106105.66619,-3104733.75339,-1.02445483208e-08,940091.1708, -5172818.5330, 4198333.5391,4,4,44.0588130092,150.069446632,41.2249411746,278.385109745
GPS 4,30.0,20552692.87,20552688.849,-3887951.54879,-3885970.84407,-6.053596735e-09,632942.9576, -5096283.5946, 4346849.9199,4,4,64.8487047482,225.723785876,41.2249411746,278.385109745
GPS 7,30.0,20552971.515,20552967.469,-3843920.17595,-3842424.241,-1.86264514923e-09,801033.6991, -4936859.3441, 4500399.1290,4,4,71.7662828775,39.1221283631,41.2249411746,278.385109745
GPS 9,30.0,23208502.918,23208499.269,-1105810.18544,-1104349.61617,-5.58793544769e-09,62073.5803, -4965281.1390, 4539819.1123,4,4,24.7196325576,284.496772327,41.2249411746,278.385109745
GPS 20,30.0,22824571.128,22824566.279,-1858203.55436,-1856891.86733,-6.98491930962e-09,1193718.4593, -4738285.1475, 4625096.4954,4,4,30.1666274881,60.7226741041,41.2249411746,278.385109745
GPS 24,30.0,23559255.862,23559253.68,-977078.552504,-975374.392859,-1.39698386192e-09,218622.7739, -5412932.6889, 3990011.4384,4,4,20.8971614719,226.223602112,41.2249411746,278.385109745
GPS 28,30.0,21633853.765,21633848.94,-3090433.54248,-3089061.63157,-1.02445483208e-08,941218.0119, -5174365.0197, 4196174.7804,4,4,43.8180989941,150.165734434,41.2249411746,278.385109745
GPS 4,60.0,20544893.432,20544889.4,-3895750.98406,-3893770.27406,-6.053596735e-09,633556.5801, -5095098.5183, 4348149.5650,4,4,65.0861979091,225.959965559,41.2249411746,278.385109745
GPS 7,60.0,20554883.174,20554879.086,-3842008.49694,-3840512.55832,-1.86264514923e-09,802446.3870, -4936919.8819, 4500081.0400,4,4,71.6825524457,39.7861037568,41.2249411746,278.385109745
GPS 9,60.0,23213383.71,23213379.972,-1100929.40392,-1099468.8411,-5.58793544769e-09,60872.2925, -4967138.1657, 4537803.4882,4,4,24.6899177511,284.254829689,41.2249411746,278.385109745
GPS 20,60.0,22830643.774,22830639.05,-1852130.86994,-1850819.18231,-6.98491930962e-09,1193479.0997, -4736429.6587, 4627058.3763,4,4,30.0978425503,60.4839856859,41.2249411746,278.385109745
GPS 24,60.0,23541707.517,23541705.298,-994626.760799,-992922.573197,-1.39698386192e-09,221592.4567, -5409345.0195, 3994710.3442,4,4,21.0990206802,226.342962339,41.2249411746,278.385109745
GPS 28,60.0,21649600.792,21649595.988,-3074686.52107,-3073314.61291,-1.02445483208e-08,942351.2367, -5175921.5602, 4194000.1956,4,4,43.5774830133,150.261345372,41.2249411746,278.385109745
GPS 4,90.0,20537185.831,20537181.784,-3903458.58247,-3901477.8666,-6.053596735e-09,634171.3273, -5093917.6624, 4349443.3054,4,4,65.3234928368,226.199262217,41.2249411746,278.385109745
GPS 7,90.0,20556840.94,20556836.786,-3840050.71986,-3838554.77999,-1.86264514923e-09,803859.4665, -4936984.2395, 4499758.2232,4,4,71.5973165288,40.4454421237,41.2249411746,278.385109745
GPS 9,90.0,23218370.123,23218366.378,-1095943.03491,-1094482.46587,-5.58793544769e-09,59652.0101, -4968995.5178, 4535785.7833,4,4,24.6590681877,284.013054035,41.2249411746,278.385109745
GPS 20,90.0,22836827.073,22836822.477,-1845947.52614,-1844635.83465,-6.98491930962e-09,1193253.2892, -4734562.3307, 4629027.2861,4,4,30.0278280682,60.2461813944,41.2249411746,278.385109745
GPS 24,90.0,23524201.923,23524199.575,-1012132.30773,-1010428.09856,-1.39698386192e-09,224529.7955, -5405791.4305, 3999354.0568,4,4,21.3008927691,226.462911117,41.2249411746,278.385109745
GPS 28,90.0,21665422.23,21665417.444,-3058865.05526,-3057493.15019,-1.02445483208e-08,943490.9639, -5177488.2692, 4191809.5751,4,4,43.3369667867,150.356285105,41.2249411746,278.385109745
GPS 4,120.0,20529570.704,20529566.643,-3911073.71813,-3909092.99725,-6.053596735e-09,634787.2312, -5092740.9860, 4350731.1927,4,4,65.5605827645,226.441755303,41.2249411746,278.385109745
GPS 7,120.0,20558845.473,20558841.385,-3838046.18115,-3836550.23833,-1.86264514923e-09,805272.9443, -4937052.4176, 4499430.6753,4,4,71.5105937662,41.1001228168,41.2249411746,278.385109745
GPS 9,120.0,23223462.432,23223458.666,-1090850.79316,-1089390.23357,-5.58793544769e-09,58412.6795, -4970853.3269, 4533765.8356,4,4,24.6270880235,283.771454842,41.2249411746,278.385109745
GPS 20,120.0,22843121.431,22843116.92,-1839653.15625,-1838341.47074,-6.98491930962e-09,1193041.0836, -4732682.9861, 4631003.3704,4,4,29.9565897494,60.0092716034,41.2249411746,278.385109745
GPS 24,120.0,23506739.846,23506737.518,-1029594.33677,-1027890.10737,-1.39698386192e-09,227435.3066, -5402271.4869, 4003943.4879,4,4,21.5027765784,226.583450092,41.2249411746,278.385109745
GPS 28,120.0,21681318.421,21681313.617,-3042968.8459,-3041596.94474,-1.02445483208e-08,944637.3138, -5179065.2634, 4189602.7059,4,4,43.0965520213,150.450559163,41.2249411746,278.385109745
GPS 4,150.0,20522048.054,20522043.989,-3918596.35927,-3916615.6323,-6.053596735e-09,635404.3236, -5091568.4484, 4352013.2779,4,4,65.7974607385,226.687527163,41.2249411746,278.385109745
GPS 7,150.0,20560896.808,20560892.88,-3835994.83629,-3834498.88743,-1.86264514923e-09,806686.8275, -4937124.4167, 4499098.3927,4,4,71.4224027958,41.7501283815,41.2249411746,278.385109745
GPS 9,150.0,23228660.201,23228656.481,-1085653.04119,-1084192.47585,-5.58793544769e-09,57154.2450, -4972711.7243, 4531743.4824,4,4,24.593981501,283.530041489,41.2249411746,278.385109745
GPS 20,150.0,22849526.615,22849521.99,-1833247.95515,-1831936.26494,-6.98491930962e-09,1192842.5407, -4730791.4450, 4632986.7761,4,4,29.8841333893,59.7732665081,41.2249411746,278.385109745
GPS 24,150.0,23489321.532,23489319.297,-1047012.6272,-1045308.37666,-1.39698386192e-09,230309.4988, -5398784.7578, 4008479.5327,4,4,21.7046709423,226.704580937,41.2249411746,278.385109745
GPS 28,150.0,21697288.973,21697284.207,-3026998.24941,-3025626.35188,-1.02445483208e-08,945790.4084, -5180652.6612, 4187379.3712,4,4,42.8562404107,150.544172952,41.2249411746,278.385109745
GPS 4,180.0,20514616.175,20514612.095,-3926028.2111,-3924047.47781,-6.053596735e-09,636022.6361, -5090400.0097, 4353289.6112,4,4,66.0341196096,226.936663156,41.2249411746,278.385109745
GPS 7,180.0,20562993.288,20562989.459,-3833898.35453,-3832402.40014,-1.86264514923e-09,808101.1233, -4937200.2374, 4498761.3718,4,4,71.3327622401,42.3954444609,41.2249411746,278.385109745
GPS 9,180.0,23233961.446,23233957.72,-1080351.80808,-1078891.25138,-5.58793544769e-09,55876.6486, -4974570.8414, 4529718.5602,4,4,24.5597529487,283.288823256,41.2249411746,278.385109745
GPS 20,180.0,22856040.777,22856035.99,-1826733.82138,-1825422.12259,-6.98491930962e-09,1192657.7202, -4728887.5253, 4634977.6511,4,4,29.8104648689,59.5381761239,41.2249411746,278.385109745
GPS 24,180.0,23471945.442,23471943.182,-1064388.67929,-1062684.40248,-1.39698386192e-09,233152.8731, -5395330.8172, 4012963.0701,4,4,21.9065746889,226.826305356,41.2249411746,278.385109745
GPS 28,180.0,21713331.858,21713327.118,-3010955.31907,-3009583.42249,-1.02445483208e-08,946950.3717, -5182250.5826, 4185139.3506,4,4,42.6160336358,150.637131756,41.2249411746,278.385109745
GPS 4,210.0,20507275.275,20507271.181,-3933369.06907,-3931388.32913,-6.053596735e-09,636642.1999, -5089235.6302, 4354560.2419,4,4,66.2705520245,227.189251796,41.2249411746,278.385109745
GPS 7,210.0,20565135.093,20565131.25,-3831756.54044,-3830260.58206,-1.86264514923e-09,809515.8389, -4937279.8805, 4498419.6090,4,4,71.2416906917,43.0360596997,41.2249411746,278.385109745
GPS 9,210.0,23239365.989,23239362.301,-1074947.24265,-1073486.68277,-5.58793544769e-09,54579.8306, -4976430.8095, 4527690.9050,4,4,24.5244067792,283.047809321,41.2249411746,278.385109745
GPS 20,210.0,22862663.81,22862659.014,-1820110.83297,-1818799.12719,-6.98491930962e-09,1192486.6833, -4726971.0423, 4636976.1447,4,4,29.7355901531,59.3040102852,41.2249411746,278.385109745
GPS 24,210.0,23454612.019,23454609.636,-1081722.07495,-1080017.76721,-1.39698386192e-09,235965.9234, -5391909.2430, 4017394.9630,4,4,22.1084866406,226.948625076,41.2249411746,278.385109745
GPS 28,210.0,21729446.968,21729442.219,-2994840.20576,-2993468.31482,-1.02445483208e-08,948117.3293, -5183859.1494, 4182882.4201,4,4,42.3759333645,150.72944074,41.2249411746,278.385109745
GPS 4,240.0,20500028.66,20500024.548,-3940615.65727,-3938634.91067,-6.053596735e-09,637263.0461, -5088075.2712, 4355825.2187,4,4,66.5067504161,227.445384888,41.2249411746,278.385109745
GPS 7,240.0,20567325.534,20567321.584,-3829566.09833,-3828070.1344,-1.86264514923e-09,810930.9818, -4937363.3466, 4498073.1005,4,4,71.1492067003,43.6719656466,41.2249411746,278.385109745
GPS 9,240.0,23244876.75,23244873.099,-1069436.44483,-1067975.8832,-5.58793544769e-09,53263.7290, -4978291.7598, 4525660.3518,4,4,24.4879474888,282.80700876,41.2249411746,278.385109745
GPS 20,240.0,22869398.736,22869393.883,-1813375.93704,-1812064.22906,-6.98491930962e-09,1192329.4931, -4725041.8087, 4638982.4075,4,4,29.6595152885,59.0707786443,41.2249411746,278.385109745
GPS 24,240.0,23437324.777,23437322.253,-1099009.33201,-1097305.00502,-1.39698386192e-09,238749.1360, -5388519.6181, 4021776.0586,4,4,22.3104056136,227.071541858,41.2249411746,278.385109745
GPS 28,240.0,21745637.123,21745632.301,-2978650.05642,-2977278.16525,-1.02445483208e-08,949291.4086, -5185478.4853, 4180608.3518,4,4,42.1359412519,150.821104956,41.2249411746,278.385109745
GPS 4,270.0,20492872.412,20492868.292,-3947771.89384,-3945791.14248,-6.053596735e-09,637885.2056, -5086918.8940, 4357084.5896,4,4,66.7427069931,227.705157676,41.2249411746,278.385109745
GPS 7,270.0,20569560.74,20569556.649,-3827330.88659,-3825834.9213,-1.86264514923e-09,812346.5596, -4937450.6365, 4497721.8422,4,4,71.0553287601,44.3031566564,41.2249411746,278.385109745
GPS 9,270.0,23250489.557,23250485.914,-1063823.64161,-1062363.08704,-5.58793544769e-09,51928.2800, -4980153.8236, 4523626.7350,4,4,24.4503796556,282.566430545,41.2249411746,278.385109745
