PRN,TIME(SOD),C1,C2,L1,L2,Tgd,IPPx,IPPy,IPPz,LLI_1,LLI_2,Elevation,Azimuth,Lat,Lon
GPS 4,0.0,20366190.051,20366187.989,-4118239.65554,-4114050.54626,-6.053596735e-09,610531.3249, -5143614.2054, 4293985.5494,4,4,65.4032451677,226.006785632,40.6083469898,278.037398167
GPS 7,0.0,20408680.218,20408677.853,-4227001.49177,-4224816.80182,-1.86264514923e-09,777846.1802, -4985281.7152, 4450814.4233,4,4,71.0120502228,37.5457105205,40.6083469898,278.037398167
GPS 9,0.0,23028836.183,23028834.695,-1281595.30326,-1278569.5104,-5.58793544769e-09,43177.9157, -5009927.8318, 4490722.2447,4,4,24.8543886608,285.018554351,40.6083469898,278.037398167
GPS 20,0.0,22704517.392,22704514.531,-1953660.59742,-2020749.4477,-6.98491930962e-09,1178557.2338, -4787316.2388, 4578256.6078,4,4,29.6284193465,60.3671314039,40.6083469898,278.037398167
GPS 24,0.0,23347600.503,23347600.213,-1069862.83377,-1066062.93453,-1.39698386192e-09,203329.7141, -5450412.0068, 3939478.8329,4,4,21.3717134867,226.053678352,40.6083469898,278.037398167
GPS 28,0.0,21421160.241,21421157.38,-3707006.57502,-3705027.14154,-1.02445483208e-08,916566.3142, -5217723.2794, 4147661.6860,4,4,44.5392881464,149.093784773,40.6083469898,278.037398167
GPS 4,30.0,20357720.113,20357718.094,-4126709.53215,-4122520.41779,-6.053596735e-09,611136.6864, -5142451.4249, 4295291.9324,4,4,65.6399374318,226.2553057,40.6083469898,278.037398167
GPS 7,30.0,20409683.23,20409680.887,-4225998.44126,-4223813.74744,-1.86264514923e-09,779264.1586, -4985339.3090, 4450501.8634,4,4,70.9325487212,38.1883669631,40.6083469898,278.037398167
GPS 9,30.0,23032438.545,23032437.082,-1277992.94737,-1274967.14967,-5.58793544769e-09,42051.5564, -5011760.7098, 4488687.3076,4,4,24.8289294074,284.775680676,40.6083469898,278.037398167
GPS 20,30.0,22709790.68,22709787.821,-1948387.24005,-2015476.09275,-6.98491930962e-09,1178336.3066, -4785445.6488, 4580268.6583,4,4,29.5591107757,60.1303255874,40.6083469898,278.037398167
GPS 24,30.0,23329265.775,23329265.559,-1088197.48548,-1084397.56309,-1.39698386192e-09,206205.0336, -5446959.3492, 3944102.0300,4,4,21.5735506024,226.174549079,40.6083469898,278.037398167
GPS 28,30.0,21435741.579,21435738.763,-3692425.20341,-3690445.77169,-1.02445483208e-08,917672.7949, -5219230.1723, 4145520.5392,4,4,44.299287941,149.196481384,40.6083469898,278.037398167
GPS 4,60.0,20349342.091,20349340.085,-4135087.51842,-4130898.39716,-6.053596735e-09,611743.2238, -5141292.6768, 4296592.5255,4,4,65.8763998684,226.507252008,40.6083469898,278.037398167
GPS 7,60.0,20410730.465,20410728.122,-4224951.16727,-4222766.46928,-1.86264514923e-09,780682.5227, -4985400.6948, 4450184.5133,4,4,70.8516157315,38.826990182,40.6083469898,278.037398167
GPS 9,60.0,23036146.416,23036144.951,-1274285.05193,-1271259.25325,-5.58793544769e-09,40906.6062, -5013593.4000, 4486650.7954,4,4,24.8023261721,284.532937612,40.6083469898,278.037398167
GPS 20,60.0,22715173.721,22715170.906,-1943004.22196,-2010093.0708,-6.98491930962e-09,1178129.2095, -4783562.9361, 4582288.1503,4,4,29.4885888132,59.8943964129,40.6083469898,278.037398167
GPS 24,60.0,23310974.28,23310974.028,-1106488.88914,-1102688.94886,-1.39698386192e-09,209049.2496, -5443539.0757, 3948671.7049,4,4,21.7753947852,226.29602672,40.6083469898,278.037398167
GPS 28,60.0,21450397.891,21450395.142,-3677768.87455,-3675789.44444,-1.02445483208e-08,918785.4103, -5220746.6715, 4143363.9778,4,4,44.0593733643,149.298433219,40.6083469898,278.037398167
GPS 4,90.0,20341055.324,20341053.321,-4143374.2604,-4139185.13373,-6.053596735e-09,612350.9687, -5140137.9218, 4297887.3795,4,4,66.1126248038,226.762713857,40.6083469898,278.037398167
GPS 7,90.0,20411821.285,20411818.961,-4223860.32667,-4221675.62621,-1.86264514923e-09,782101.2786, -4985465.8731, 4449862.3696,4,4,70.7692672337,39.4615570418,40.6083469898,278.037398167
GPS 9,90.0,23039958.861,23039957.463,-1270472.54256,-1267446.73131,-5.58793544769e-09,39743.0210, -5015426.0322, 4484612.5472,4,4,24.7745828034,284.290334922,40.6083469898,278.037398167
GPS 20,90.0,22720665.579,22720662.737,-1937512.37225,-2004601.22048,-6.98491930962e-09,1177936.0023, -4781667.9186, 4584315.2358,4,4,29.4168590784,59.6593539218,40.6083469898,278.037398167
GPS 24,90.0,23292725.504,23292725.363,-1124737.54656,-1120937.59198,-1.39698386192e-09,211862.8605, -5440150.7723, 3953188.7374,4,4,21.9772448003,226.418113069,40.6083469898,278.037398167
GPS 28,90.0,21465128.243,21465125.422,-3663038.57759,-3661059.1469,-1.02445483208e-08,919904.2756, -5222272.8858, 4141191.7996,4,4,43.8195462694,149.399647006,40.6083469898,278.037398167
